iter	Logloss
0	0.4903275356
1	0.4369766125
2	0.4017533423
3	0.3662407913
4	0.3454420317
5	0.3315305608
6	0.3059214416
7	0.2977243375
8	0.283906431
9	0.2772473085
10	0.2693473245
11	0.248310448
12	0.2391925228
13	0.2331465741
14	0.2248893116
15	0.2228481588
16	0.2122080609
17	0.2109005102
18	0.2082421362
19	0.1909548396
20	0.1879177552
21	0.1812317196
22	0.1725036839
23	0.1663262302
24	0.1601209292
25	0.1587253571
26	0.1537309711
27	0.1479689888
28	0.1470446482
29	0.1441973291
30	0.1371620678
31	0.1356387379
32	0.1284692515
33	0.1246674759
34	0.1225609544
35	0.1221695321
36	0.1194863245
37	0.1141979484
38	0.1109173626
39	0.109774929
40	0.1065269454
41	0.1039221092
42	0.09671639446
43	0.09254438749
44	0.08821754609
45	0.08326460851
46	0.08188326644
47	0.07695059622
48	0.07638882408
49	0.0742526906
50	0.07114058226
51	0.07004354423
52	0.06787766014
53	0.0662729996
54	0.06594878844
55	0.06555902865
56	0.06496002678
57	0.06437420882
58	0.06374479889
59	0.06338672183
60	0.06072416538
61	0.05950982915
62	0.0577142657
63	0.05524970395
64	0.05408275779
65	0.0529159773
66	0.05180775269
67	0.04974211442
68	0.04874450203
69	0.04859922553
70	0.04732276883
71	0.04613361943
72	0.04535902574
73	0.04439769791
74	0.04362463504
75	0.04275068875
76	0.04183863624
77	0.04087509083
78	0.04051543271
79	0.03998709518
80	0.03919358101
81	0.03737520801
82	0.03672668615
83	0.03621003785
84	0.03558426474
85	0.03501781425
86	0.03479009833
87	0.03451941693
88	0.03433352381
89	0.03392440928
90	0.03370339839
91	0.033453318
92	0.03316211861
93	0.0329516106
94	0.03267894322
95	0.03195266966
96	0.03180843838
97	0.0311516745
98	0.03080630721
99	0.03030796525
