iter	Passed	Remaining
0	5	570
1	11	558
2	16	529
3	21	518
4	27	517
5	32	511
6	37	499
7	42	492
8	48	489
9	53	482
10	59	479
11	64	471
12	69	465
13	74	459
14	80	455
15	85	450
16	90	443
17	95	437
18	101	431
19	106	425
20	111	418
21	116	412
22	121	406
23	126	401
24	131	395
25	136	389
26	142	384
27	147	379
28	152	372
29	157	366
30	162	362
31	168	357
32	173	351
33	178	346
34	183	340
35	187	334
36	192	328
37	197	322
38	202	316
39	207	310
40	211	304
41	216	298
42	221	293
43	226	287
44	231	282
45	235	276
46	240	271
47	245	266
48	250	260
49	255	255
50	259	249
51	264	244
52	269	238
53	273	233
54	278	227
55	283	222
56	287	217
57	293	212
58	297	206
59	302	201
60	307	196
61	312	191
62	317	186
63	321	181
64	326	175
65	331	170
66	336	165
67	341	160
68	346	155
69	350	150
70	355	145
71	359	139
72	364	134
73	369	129
74	374	124
75	379	119
76	384	114
77	388	109
78	394	104
79	399	99
80	404	94
81	409	89
82	414	84
83	419	79
84	424	74
85	429	69
86	433	64
87	438	59
88	443	54
89	448	49
90	453	44
91	457	39
92	462	34
93	467	29
94	473	24
95	477	19
96	482	14
97	487	9
98	491	4
99	496	0
